TadpoleDensity,MayflyDensity,GrowthPeriod,FilterWt,DryWt,AshedWt,AFDM,IM,AFDM/cm2/d
16,0,8,0.0376,0.0411,0.0398,0.0013,0.0022,2.55986E-06
16,250,8,0.0384,0.0435,0.0423,0.0012,0.0039,2.36295E-06
16,250,7,0.1196,0.1228,0.1213,0.0015,0.0017,3.37564E-06
16,250,7,0.1204,0.13,0.1276,0.0024,0.0072,5.40103E-06
0,250,8,0.1233,0.1293,0.127,0.0023,0.0037,4.52899E-06
0,250,8,0.1265,0.1289,0.1275,0.0014,0.001,2.75677E-06
0,250,8,0.1241,0.127,0.1256,0.0014,0.0015,2.75677E-06
0,250,8,0.1241,0.1294,0.1272,0.0022,0.0031,4.33207E-06
0,250,8,0.1252,0.1292,0.1274,0.0018,0.0022,3.54442E-06
0,250,8,0.1265,0.1311,0.1287,0.0024,0.0022,4.7259E-06
0,250,8,0.1239,0.1293,0.1268,0.0025,0.0029,4.92281E-06
0,250,8,0.1235,0.1314,0.1283,0.0031,0.0048,6.10428E-06
0,250,8,0.1235,0.1281,0.1262,0.0019,0.0027,3.74134E-06
0,250,8,0.1235,0.1266,0.1247,0.0019,0.0012,3.74134E-06
0,250,8,0.1254,0.1285,0.1271,0.0014,0.0017,2.75677E-06
0,250,8,0.1233,0.124,0.1234,0.0006,1E-04,1.18147E-06
16,0,8,0.1198,0.1247,0.1227,0.002,0.0029,3.93825E-06
16,0,8,0.1182,0.1266,0.1246,0.002,0.0064,3.93825E-06
16,0,8,0.1177,0.1226,0.1206,0.002,0.0029,3.93825E-06
16,0,8,0.1245,0.1297,0.1274,0.0023,0.0029,4.52899E-06
16,0,8,0.1191,0.1342,0.1294,0.0048,0.0103,9.4518E-06
16,0,8,0.1215,0.1242,0.1229,0.0013,0.0014,2.55986E-06
16,0,8,0.1198,0.1248,0.123,0.0018,0.0032,3.54442E-06
16,0,8,0.125,0.1396,0.1335,0.0061,0.0085,1.20117E-05
16,0,8,0.126,0.1303,0.128,0.0023,0.002,4.52899E-06
16,0,8,0.1251,0.1298,0.1274,0.0024,0.0023,4.7259E-06
16,0,8,0.1204,0.123,0.1217,0.0013,0.0013,2.55986E-06
16,0,8,0.1193,0.1208,0.1195,0.0013,0.0002,2.55986E-06
16,0,8,0.1259,0.1294,0.1274,0.002,0.0015,3.93825E-06
16,0,8,0.1199,0.1233,0.122,0.0013,0.0021,2.55986E-06
16,250,8,0.1239,0.1287,0.1265,0.0022,0.0026,4.33207E-06
16,250,8,0.124,0.1294,0.1271,0.0023,0.0031,4.52899E-06
16,250,8,0.1245,0.1289,0.1271,0.0018,0.0026,3.54442E-06
16,250,8,0.1252,0.1309,0.1282,0.0027,0.003,5.31664E-06
16,250,8,0.1239,0.1291,0.1266,0.0025,0.0027,4.92281E-06
16,250,8,0.1264,0.1335,0.1308,0.0027,0.0044,5.31664E-06
16,250,8,0.1251,0.1278,0.1263,0.0015,0.0012,2.95369E-06
16,250,8,0.1259,0.1293,0.1272,0.0021,0.0013,4.13516E-06
16,250,8,0.124,0.1316,0.1288,0.0028,0.0048,5.51355E-06
16,250,8,0.1247,0.1307,0.1277,0.003,0.003,5.90737E-06
16,250,8,0.1272,0.1341,0.1312,0.0029,0.004,5.71046E-06
16,250,8,0.1249,0.1324,0.1292,0.0032,0.0043,6.3012E-06
16,250,8,0.1237,0.1333,0.1298,0.0035,0.0061,6.89193E-06
16,250,8,0.1245,0.131,0.1285,0.0025,0.004,4.92281E-06
16,0,8,0.1175,0.1272,0.1243,0.0029,0.0068,5.71046E-06
16,0,8,0.1259,0.131,0.1291,0.0019,0.0032,3.74134E-06
16,0,8,0.1264,0.132,0.1304,0.0016,0.004,3.1506E-06
16,0,8,0.1242,0.133,0.1306,0.0024,0.0064,4.7259E-06
16,0,8,0.1187,0.1242,0.1222,0.002,0.0035,3.93825E-06
16,0,8,0.1188,0.1541,0.144,0.0101,0.0252,1.98882E-05
16,0,8,0.1237,0.1284,0.1266,0.0018,0.0029,3.54442E-06
16,0,8,0.1237,0.127,0.1256,0.0014,0.0019,2.75677E-06
16,0,8,0.1202,0.1272,0.1242,0.003,0.004,5.90737E-06
16,0,8,0.1241,0.131,0.1289,0.0021,0.0048,4.13516E-06
16,0,8,0.1258,0.1289,0.1274,0.0015,0.0016,2.95369E-06
16,0,8,0.1236,0.1294,0.1275,0.0019,0.0039,3.74134E-06
16,0,8,0.124,0.1302,0.1285,0.0017,0.0045,3.34751E-06
16,0,8,0.1175,0.1223,0.1203,0.002,0.0028,3.93825E-06
16,0,8,0.1196,0.1256,0.1234,0.0022,0.0038,4.33207E-06
0,0,8,0.1244,0.15,0.1423,0.0077,0.0179,1.51623E-05
0,0,8,0.12,0.1524,0.1425,0.0099,0.0225,1.94943E-05
0,0,8,0.1247,0.1452,0.1382,0.007,0.0135,1.37839E-05
0,0,8,0.1193,0.1672,0.1539,0.0133,0.0346,2.61894E-05
0,0,8,0.1205,0.1468,0.1384,0.0084,0.0179,1.65406E-05
0,0,8,0.1205,0.1497,0.1396,0.0101,0.0191,1.98882E-05
0,0,8,0.1244,0.1362,0.1317,0.0045,0.0073,8.86106E-06
0,0,8,0.1244,0.159,0.1481,0.0109,0.0237,2.14635E-05
0,0,8,0.1199,0.1322,0.1284,0.0038,0.0085,7.48267E-06
0,0,8,0.1251,0.1303,0.1282,0.0021,0.0031,4.13516E-06
0,0,8,0.1189,0.125,0.1227,0.0023,0.0038,4.52899E-06
0,0,8,0.1194,0.1236,0.1223,0.0013,0.0029,2.55986E-06
0,0,8,0.1232,0.1322,0.1288,0.0034,0.0056,6.69502E-06
0,0,9,0.1259,0.1321,0.1296,0.0025,0.0037,4.37583E-06
0,0,9,0.1259,0.1346,0.1305,0.0041,0.0046,7.17636E-06
0,0,9,0.1264,0.1328,0.1299,0.0029,0.0035,5.07596E-06
0,0,9,0.1266,0.1416,0.1356,0.006,0.009,1.0502E-05
0,0,9,0.1188,0.122,0.1199,0.0021,0.0011,3.6757E-06
0,0,9,0.1259,0.1393,0.1342,0.0051,0.0083,8.9267E-06
0,0,9,0.1206,0.1318,0.1269,0.0049,0.0063,8.57663E-06
